Name,Code,ICAO
Spain - Guardia Civil,,DGC
Spain - National Police,,DGP
Sparfell Luftfahrt,,LDX
Sparfell Malta,,QFX
Spartan College of Aeronautics and Technology,,SCU
Specialist Aviation Services,,PLC
SpiceJet,SG,SEJ
Spirit Airlines,NK,NKS
SpiritJets,,SJJ
Spot Jet Services,,BYB
Spree Flug,,SFG
Spring Airlines,9C,CQH
Spring City Aviation,,SCJ
Spring Japan,IJ,SJO
SprintAir,P8,SRN
SprintAir Cargo,,SAR
SR Jet,,QSR
SriLankan Airlines,UL,ALK
Sriwijaya Air,SJ,SJY
St Barth Commuter,PV,SBU
St Barth Executive,LE,STB
STAjets,,KFB
Star Air,S5,SDG
Star Air Cargo,,BRH
Star East Airlines,4R,SEK
Star Fly Wings,,SYW
Star Peru,2I,SRU
Star Wings,,STQ
Star Work Sky,,SWP
Starflyer,7G,SFJ
Stark Airways,,XSK
Starlink Aviation,Q4,TLK
Starlite Aviation,,TRL
Starlux,JX,SJX
Stellaer 212,,EIX
Sterling Airways,VC,SRY
Sterling Aviation,,NSH
STP Airways,8F,STP
Su Airlines,,SUE
Suburban Air Freight,,SUB
Sudan Airways,SD,SUD
Summit Air,,SUT
Summit Aviation,,YEL
Sun Air,,SAV
Sun Air,SO,SNR
Sun Air Bulgaria,AB,BGS
Sun Country Airlines,SY,SCX
Sun-Air,EZ,SUS
Sunclass Airlines,DK,VKG
Suncor Energy,,JSN
Sundair,SR,SDR
Sundt Air,,AKK
Sundt Air,,MDT
SunExpress,XQ,SXS
Sunkar Air,,BBK
Sunlight Air,2R,RLB
Sunrise Airways,S6,KSZ
Sunstate Airlines,,SSQ
Sunwest Aviation,,CNK
Sunwing Airlines,WG,SWG
Suparna Airlines,Y8,YZR
Super Air Jet,IU,SJV
Superior Air Charter,,RSP
Supernova Airlines,P7,NPG
Surf Air,,URF
Surinam Airways,PY,SLM
Surveillance Australia,,BDF
Susi Air,,SQS
Suzhou Aviation,,CBW
Svensk Luftambulans,,SWV
Svenskt Ambulansflyg,,SWE
Svenskt Industriflyg,,JET
SVG Air,,SVD
Sweden - Armed Forces,,SVF
Sweden - Coast Guard,,KBV
Sweden - Police,,POL
Sweden - Swedish Maritime Administration,,HMF
Swift Copters,,WFC
Swiftair,WT,SWT
Swiftair Hellas,,MDF
Swiss,LX,SWR
Swiss Flight Services,,SFS
Swiss Helicopter,,HSI
Swiss Private Jet,,SWW
Switzerland - Air Force,,SUI
SXM Airways,,SXM
Sylt Air,7E,AWU
Syncrude Canada,,SYN
Syphax Airlines,Y3,SYA
Syrian Air,RB,SYR
T'way Air,TW,TWB
TAAG Angola Airlines,DT,DTA
TAB Cargo,2L,BOL
Taban Airlines,,TBN
TAG Aviation,,VIP
TAG Aviation Asia,,TBJ
TAG Aviation Cayman,,TCJ
TAG Aviation Malta,,TEU
TAG Aviation San Marino,,TAG
TagAirlines,5U,TGU
Taiga Air,,TGA
Tailwind Airlines,TI,TWI
Tajik Air,7J,TJK
Talon Air,,TFF
Tanana Air Service,Z3,TNR
TAP Air Portugal,TP,TAP
Taquan Air,K3,TQN
TAR Aerolineas,YQ,LCT
Tarco Aviation,3T,TQQ
Tarom,RO,ROT
Tashkent Air,,TSK
Tasman Cargo Airlines,HJ,TMN
Tassili Airlines,SF,DTH
Tatra JET,,TTJ
Tbilisi Airways,TD,TBC
TCA,N6,TZS
Team Global Express,,TFX
Terra Avia,T8,TVR
Texel Air,,XLR
Texel Air Australasia,TT,TNZ
Tez Jet Airlines,K9,TEZ
Thai AirAsia,FD,AIQ
Thai AirAsia X,XJ,TAX
Thai Airways,TG,THA
Thai Lion Air,SL,TLM
Thai VietJet Air,VZ,TVJ
Thalair,,TLJ
Thales UK Flight Inspection Service,,CLB
The Little Jet Company,,LJC
The Mitre Corporation,,MIP
Thrive,,TIV
Thrust Flight,,TRF
Thunder Airlines,,THU
Tianjin Air Cargo,HT,CTJ
Tianjin Airlines,GS,GCR
Tibet Airlines,TV,TBA
Tigerair Taiwan,IT,TTW
Time Air,,TIE
Tinadar Jets,,NAD
Titan Airways,ZT,AWC
Titan Airways Malta,TM,TMT
TopFlight Aero-Services,,TAF
Total Express,,TOT
Total Linhas Aereas,0T,TTL
Toyo Aviation,,TOY
Trade Air,C3,TDR
Tradewind Aviation,TJ,GPD
Trans Air Congo,Q8,TSG
Trans Am Aero Express del Ecuador,7T,RTM
Trans Guyana Airways,,TGY
Trans Island Airways,,GGT
Trans Maldivian Airways,,TMW
Transair,R2,GTS
Transair,R9,MUI
Transavia,HV,TRA
Transavia France,TO,TVF
Transaviabaltika,,KTB
Transaviaexport Airlines,,TXC
Transcarga International Airways,,TIW
TransNusa,8B,TNU
Travel Management Company,,TMC
Travira Air,,TVV
Trebet Aviation,,AOO
Tri-State Aero,,TSS
Trident Aircraft,,WMN
Trigana Air,IL,TGN
Tropic Air,9N,TOS
Tropic Ocean Airways,TI,FTO
TUI Airlines Belgium,TB,JAF
TUI Airlines Netherlands,OR,TFL
TUI Airways,BY,TOM
TUI fly,X3,TUI
TUI fly Nordic,6B,BLX
Tulpar,,RFE
TUM AeroCarga,T2,MCS
Tunisair,TU,TAR
Tunisair Express,UG,TUX
Tunisia - Air Force,,TUN
Turkey - Air Force,,HVK
Turkey - Government,,TRK
Turkish Airlines,TK,THY
Turkmenistan - Government,,TUG
Turkmenistan Airlines,T5,TUA
Turpial Airlines,T9,VTU
Tus Air,U8,CYF
Twin Jet,T7,TJT
Tyrol Air Ambulance,,TYW
Tyrolean Jet Services,,TJS
Tyrolean Jets & Services Malta,,TYJ
UG Jet,,UGJ
Uganda Airlines,UR,UGD
Ukraine - State Air Traffic Service,,UTS
Ukraine Air Alliance,,UKL
Ukraine International Airlines,PS,AUI
Ukrainian Wings,,UWJ
ULS Airlines Cargo,GO,KZU
Ultimate Jet,UE,UJC
UmzaXpress,,UMZ
UNC Air Operations,,RHE
UND Aerospace,,NDU
UNI Air,B7,UIA
Uni-Fly,,UNC
Uni-Fly Heliworx,,UFX
Uni-Top Airlines,UW,UTP
Unicair,,UNI
Union Aviation,,UAG
Unique Air,,UQA
United Airlines,UA,UAL
United Arab Emirates - Air Force,,UAF
United Aviate Academy,,VAR
United Eagle,,UEE
United Kingdom - Air Ambulance,,HLE
United Kingdom - Army Air Corps,,AAC
United Kingdom - Coast Guard,,SRD
United Kingdom - Maritime and Coastguard Agency,,SRG
United Kingdom - National Police Air Service,,UKP
United Kingdom - RAF Support Helicopter Force,,SHF
United Kingdom - RAF Warton Military Flight Ops,,WTN
United Kingdom - Royal Air Force,,RFR
United Kingdom - Royal Air Force Air Transport,,RRR
United Kingdom - Royal Navy,,NVY
United Kingdom - UK Royal/VIP Flights,,KRF
United Nations,,UNO
United Nigeria Airlines,UN,NUA
United States - Air Force,,RCH
United States - California Department of Forestry,,CFR
United States - FAA,,NHK
United States - Florida Forest Service,,FFS
United States - NASA,,IGY
United States - NOA,,NOA
United States - North Carolina Forest Service,,FTK
United States - Tennessee Valley Authority,,VLY
United States - US Department of Interior,,DOI
United States - US Department of Justice,,DOJ
United States - US Department of State,,DOS
United States - US Forest Service,,XCN
United States - US Immigration and Customs Enforcement,,RPN
United States - US Marshals Service,,MSH
Universal Air,VO,UVL
University of Central Missouri Aviation,,UCM
University of Oklahoma School of Aviation,,OUA
Uniworld Air Cargo,U7,UCG
UPS,5X,UPS
Ural Airlines,U6,SVR
Urumqi Air,UQ,CUH
US-Bangla Airlines,BS,UBG
USA Jet Airlines,UJ,JUS
USC,XG,USY
Utair,UT,UTA
UVT Aero,RT,UVT
Uzbekistan Airways,HY,UZB
Valair,,VVV
Valletta Airlines,,HOT
VallJet,,VLJ
ValueJet,VK,FVJ
Van Air Europe,V9,VAA
Varesh Airlines,,VRH
Vasco,0V,VFC
VCAP Aviation,,CXF
Venezolana,WW,VNE
Ventura,,VNT
Venture Aviation Group,,VET
Venture West Aviation,,VWA
VeriJet,,WSP
Via Air,,VID
Victory Air,,FTN
Vieques Air Link,V4,VES
VietJet Air,VJ,VJC
Vietnam Airlines,VN,HVN
Vietravel Airlines,VU,VAG
Virgin Atlantic,VS,VIR
Virgin Atlantic International,,VGI
Virgin Australia,VA,VOZ
Virgin Australia Regional,,OZW
Vista America,,VJA
VistaJet,,VJT
VistaJet,H5,VJH
Vistara,UK,VTI
VivaAerobus,VB,VIV
VoePass,2Z,PTB
Volare Aviation,,VLZ
Volaris,Y4,VOI
Volaris Costa Rica,Q6,VOC
Volaris El Salvador,N3,VOS
Volato,,TMB
Volga-Dnepr Airlines,VI,VDA
Volotea,V7,VOE
Voluxis,,VXS
Voyage Air,,VRG
Voyageur Airways,VC,VAL
Vueling,VY,VLG
VW Air Service,,BTX
Wamos Air,EB,PLM
Warbelows Air Ventures,4W,WAV
Wasaya Airways,WP,WSG
WEJET,,WEJ
Wermlandsflyg,,SWX
Wermlandsflyg,,BLW
West Air,PN,CHB
West Air,,PCM
West Air Sweden,T2,SWN
West Atlantic,,NPT
West Coast Charters,,WCC
West Link Airlines,,WLN
Westair Aviation,,WAA
Westair Helicopter Saudi,,WSH
Western Air,WU,WST
Western Air Express,,WAE
Western Aircraft,ST,STT
Western Global Airlines,KD,WGN
Western Michigan University College of Aviation,,WMU
WestJet,WS,WJA
WestJet Encore,WR,WEN
Wheels Up,,WUP
White,WI,WHT
Wideroe,WF,WIF
Wiggins Airways,,WIG
Wiking Helikopter Service,,WHS
Winair,WM,WIA
Windrose Air Jetcharter,,QGA
Windrose Airlines,7W,WRC
Wing Aviation,,CWG
Wingo,P5,RPB
Wingo Panama,WH,WWP
Wings Air,IW,WON
Wings West Airlines,RM,WWM
Wizz Air,W6,WZZ
Wizz Air Abu Dhabi,5W,WAZ
Wizz Air Malta,W4,WMT
Wizz Air UK,W9,WUK
Woodgate Aviation,,CWY
World Atlantic Airlines,WL,WAL
World Cargo Airlines,3G,WCM
World2Fly,2W,WFL
World2Fly Portugal,3P,WPT
Worldwide Jet Charter,,WWI
Wright Air Service,8V,WRF
XCEL JET,,XLJ
XE Jet,4U,XEJ
Xead Aviation,,XED
Xiamen Air,MF,CXA
Xinjiang Skylink General Aviation,,KGA
XO,,XOJ
Yakutia Airlines,R3,SYL
Yamal Airlines,YC,LLM
YanAir,YE,ANR
Yazd Airways,,DZD
Yellow Wings Air Services,,ELW
Yemenia,IY,IYE
Yeti Airlines,YT,NYT
YTO Cargo Airlines,YG,HYT
Yute Commuter Services,,TUD
Z Air,7Z,EZR
Zafer Air,,HMZ
Zagros Airlines,ZO,IZG
Zambia Airways,ZN,AZB
Zanair,,TAN
Zenflight,,XEN
Zenith Aviation,,BZE
Zetavia,ZK,ZAV
Zeusch Aviation,,SUZ
Zhou Ji Airlines,,JCN
Zil Air,,SYZ
Zimex Aviation,XM,IMX
Zimex Aviation Austria,ZX,AZD
Zipair,ZG,TZP
ZondaJet.com,,HEY
Zooom,ZO,ZOM
Zorex,,ORZ
ZYB Lily Jet,,MZT
